,sentence,valence,arousal
0,"그거, 내가 생일에 친구한테 선물받은 원피스!",-1.0,-1.0
3,야! 내 허락도 없이 니 맘대로 그걸 입으면 어떡해!,-1.0,1.0
4,"그래, 그 남색에, 어깨 부분에 장식 달린 거 있잖아.",-1.0,-1.0
5,"새나야, 나 내일 지각할 거 같아. 니가 미리 자리 좀 맡아줘.",0.0,-1.0
6,"으이구, 한심한 것아. 내년에 시험 떨어지고 엉엉 울어도 난 모른다.",-1.0,1.0
7,"야, 그거는, 중요한 거야! 정규 2집 내고 이번에 첫 단독콘서트 하는 거라고.",-1.0,1.0
8,"내일 두 시라면, 너 티켓팅하려고 하는 거잖아. 니네 오빠들 콘서트.",-1.0,1.0
9,"뭔 소리는, 내일 두 시에 할 일이 좀 있어서 바쁘단 말이야.",-1.0,0.0
10,오늘도 아니고 내일 지각한다는 게 뭔 소리야?,-1.0,-1.0
11,지금 니네 오빠들 콘서트가 중요하냐?,-1.0,1.0
15,"아이구, 알았어. 너 태워달랄 때마다 태워 줄게.",0.0,0.0
16,내가 돈이 어딨냐? 덕분에 면허 딴 지 오 년 넘게 장롱면허 신세인데.,-1.0,0.0
17,"야, 니가 무슨 돈이 있어서 차를 사냐? 아빠가 사주신대?",-1.0,0.0
18,"응. 이번에 성과급 받은 거에다, 나머진 아빠가 좀 보태주기로 했어.",0.0,-1.0
22,진짜지? 나중에 차 산 다음에 마음 바뀌지 마라.,0.0,0.0
24,아니거든! 진짜 냄새 나거든!,-1.0,1.0
25,"어. 너 안 씻었냐? 아니면 방귀 뀐 거야? 아휴, 진짜 독하다.",-1.0,1.0
26,야… 너 갑자기 나한테 왜 그래? 내가 뭘 어쨌다고!,-1.0,1.0
27,나한테? 나한테 무슨 냄새가 나…?,-1.0,0.0
28,아니 냄새가 나서 냄새 난다고 그런 걸 왜 화를 내?,-1.0,1.0
29, 야. 너한테서 냄새 나는 것 같아.,-1.0,0.0
30,"네? 아니요, 저 이번에 처음 그런거에요.. 한 번 실수한 거 가지고 너무 뭐라고 하지 마세요 쫌.",-1.0,1.0
31,"아, 진짜 돌겠네. 남의 세탁물에 뭐가 있는지 훔쳐볼 시간에 그 쪽 옷이나 신경쓰시라구요.",-1.0,1.0
32,"그 쪽 세탁물 안에 있던 곰돌이 그려진 티셔츠, 그거 저번에도 세탁기에 처박혀 있던 거 제가 똑똑히 기억하거든요.",-1.0,1.0
33,"아.. 네… 아는데, 죄송해요… 다음부턴 주의 할게요.",-1.0,0.0
35,휴.. 세탁기 돌리셨으면 세탁물 좀 제때제때 빼 주세요. 혼자만 쓰는 공간이 아니잖아요.,-1.0,0.0
36,휴… 그냥 대충 살고 싶다고 제발.,-1.0,1.0
37,"이따가는 무슨 이따가야. 팽팽 놀 시간 있으면 지금 청소 해, 좋은 말로 할 때.",-1.0,1.0
38,"벽에 물때 낀 거 다 그대로 있고, 휴지통도 제대로 안 비우고, 변기도 더러운데, 그게 청소 한 거야?",-1.0,1.0
39,"야, 그게 무슨 두 번 연속 한 거야? 니가 제대로 안 해서 내가 다시 하라고 시킨 거야.",-1.0,0.0
41,"언니, 내가 저번에 두 번 연속 청소 했잖아. 이번엔 언니가 좀 해.",-1.0,0.0
42,그럴 거면 너 혼자 나가 살아!,-1.0,1.0
43,"수민아, 이번에 나온 그 영화 예고편 봤어?",0.0,-1.0
44,뭐지? 갑자기 그러니까 엄청 궁금하네.,1.0,0.0
45,시사회를 꽤 많이 했다나봐. 이번에는.,0.0,-1.0
46,"그거, 너 좋아하는 배우 나오던데.",0.0,-1.0
47,어쩐지 봤을 거 같았어. 그거 예고편 보니까 엄청 재밌어 보이더라.,0.0,-1.0
48,"그래. 다음 주에 개봉이니까, 시간 맞춰서 같이 가자.",0.0,-1.0
51,아… 너한테 이런 이야기 해도 되는지 모르겠다.,-1.0,0.0
52," 아니, 딱히 무슨 일이 있어서 그런 게 아니라…그냥 너무 힘이 들어.",-1.0,1.0
53,"야, … 너 왜 그래. 무슨 일 있었어?",-1.0,1.0
54,"그냥 요즘 살기가 너무 힘들어. … 내가 세상에서.. 아무 쓸모도 없이 살아가고 있는 것 같고.. 그냥, .. 죽고 싶어.",-1.0,1.0
57,교수님이 과제 내준 거 봤어? 이번 주에 우리 팀으로 내야 하는데.,0.0,-1.0
58,너는 취직 걱정 없으니까 그렇게 학점관리 안하는 거잖아. 니네 아빠 회사 다니면 되니까.,-1.0,1.0
59,"뭐, 내 말이 틀렸어? 너 다른 애들처럼 아등바등 안 하잖아. 믿는 구석 있으니까.",-1.0,1.0
60,그래… 알았다 알았어. 너는 취직 걱정 없다 이거지?,-1.0,1.0
61,"야, 너는 무슨 말을 그딴 식으로 해?",-1.0,1.0
62,교수님이 매번 공지를 다 해주시는데 그걸 왜 모를까? 네가 관심이 없는 게 아니고?,-1.0,1.0
63,"뭐? 그게 무슨 소리야, 너?",-1.0,1.0
64,"아, 왜 그렇게 한심한 사람 취급을 해? 난 과제 있는지도 몰랐다니까.",-1.0,1.0
65,"야, 이수영 너 지금 말 다했냐?",-1.0,1.0
66,"졸리지 안 졸리겠냐? 그래서, 지금도 커피 사러 나온거라니까.",-1.0,1.0
67,응 고마워. 시험 끝나면 운동 나갈게. 그 때 보자!,0.0,-1.0
68,아… 이번 주는 아무래도 운동 못갈 것 같아. 시험기간이라서 피곤해.,-1.0,-1.0
69,야! 너 이번 주에 운동 한번도 안 나왔더라?,-1.0,-1.0
70,"발끈하긴 뭘 발끈해, 니가 말도 안 되는 소리를 하니까 그렇지.",-1.0,1.0
72,"비니야, 나 오늘 머리 짧게 자르려고 하는데 어때?",0.0,-1.0
73,어느 정도 짧게 자르고 싶은데?,0.0,-1.0
74,나도 앞머리 자르러 가야하는데 그럼 같이 가자!,0.0,-1.0
75,파마도 좋지. 굵은 웨이브 넣으면 예쁠 거 같아.,0.0,-1.0
77,그럼~ 내일 몇시에 볼까? 10시?,0.0,-1.0
78,그래? 그럼 내 등산화 빌려줄게. 발 사이즈 240이지?,0.0,-1.0
79,우리 내일 등산 가기러 한 거 잊지 않았지?,0.0,-1.0
80,아싸! 막걸리에 수육 조지자~~~,1.0,1.0
81,"그래, 그럼 나는 콜라비랑 귤 가져가야지. 무릎 아플 수도 있으니까 폴대 가져와.",0.0,-1.0
82,"아니야, 난 됐어. 너 많이 먹고 다이어트 꼭 성공해.",0.0,-1.0
83,아니? 이거는 간식이야. 다이어트는 조금씩 자주 먹는게 좋다고 하더라고. 이거 먹고 토마토 한 박스 먹으려고.,0.0,-1.0
85,토마토는 칼로리가 낮아서 괜찮다고 했어. 으니 너도 먹을래?,0.0,-1.0
86,"아, 오늘은 그걸로 저녁 대신 하는 거야?",0.0,-1.0
88,초콜릿 바. 다이어트에 초콜릿이 좋다 그래서.,0.0,-1.0
89,"야, 로또보다 이게 경쟁률이 더 높아. 알지도 못하는 게.",-1.0,1.0
90,아무 것도 아니긴 뭘? 너 지금 손톱 뜯는 거 보니까 손톱이 아주 남아나질 않겠는데.,-1.0,1.0
91,안 그래도 그럴 거거든? 싸인도 받구 악수도 하구 사진도 찍어달라고 해야지!!! 아악!,1.0,1.0
92,야!!! 로또보다 낫지!!! 방음소년단 팬 싸인회 당첨됐단 말이야!!!! 아아악!!!!,1.0,1.0
94,아아악!!!!!! 아아아아악!!!!!!!,1.0,1.0
95,당처엄~~~~~ 당첨됐어!!!!!!!! 당첨됐다고?!,1.0,1.0
96,"그래, 가서 싸인 많이 받구 와라.",0.0,-1.0
98,"응, 나 오늘 오전 수업 늦을까 봐 머리도 안 감고 왔다고… 오늘 한 끼도 안 먹어서 너무 배고파.",-1.0,0.0
99,"어차피 아직 시간 좀 있으니까, 천천히 먹고 오면 될 거 같아.",0.0,-1.0
100,거기 요즘 사람 많다고 하던데. 줄 서는 거 아냐?,-1.0,-1.0
101,괜찮아. 어차피 나 마라탕 먹어도 그렇게 맵게 해서 먹는 편은 아니야.,0.0,-1.0
102,그래. 그럼 새로 생긴 마라탕집 가자.,0.0,-1.0
103,"지은아, 너 점심 안 먹었지?",0.0,-1.0
104,그럼 나가서 같이 밥 먹고 오자.,0.0,-1.0
107,와… 사람 진짜 많다. 이 사람들 다 마라탕 먹으려고 온 거야?,-1.0,-1.0
108,그치. 아 배고파 죽을 거 같아. 얼마나 기다려야 해?,-1.0,0.0
109,그래. 마라탕에 뭐 넣을지 고민하면서 기다리자.,0.0,-1.0
110,그치? 맛있으니까 줄이 이렇게 긴 거겠지.,0.0,-1.0
111,"맞아. 이 동네 땅값이 비싸서, 맛없으면 바로 망하잖아.",-1.0,-1.0
113,"인스타그램에 올리면 콜라나 사이다 주고, 처음 온 사람은 소고기나 양고기 무료로 추가해준대.",0.0,-1.0
114,아 머리 아파. 아 나 지금 진짜 죽을 거 같아. 아… 아…,-1.0,1.0
115,야! 너 너무한 거 아니냐? 진짜.. 서럽게..,-1.0,1.0
116,술 많이 마시면 그래. 술을 그렇게 쳐마시는데 그럼 몸에 좋겠냐?,-1.0,1.0
117,"서럽긴, 헛소리 하지 말고 찬바람 좀 쏘였으면 이제 들어가자.",-1.0,-1.0
118,아니… 어떻게 거절하냐? 강제로 계속 주는데… 우웩.. 아 나 토나와..,-1.0,1.0
119,그럼 적당히 거절을 하고 그래야지! 그걸 주는 족족 다 먹냐?,-1.0,1.0
120,야! 이쪽에다 토하면 죽는다. 저 쪽 보고 있어. 나 쳐다보지 말고. ,-1.0,1.0
121,나 요새 몸이 안 좋은 거 같애.,-1.0,0.0
122,그래. 선배들이 CC하지 말라고 한 건 다 이유가 있어.,-1.0,-1.0
123,아 진짜? 나 방금 전에 학교 식당에서 소현이 봤는데. 어쩐지 안색이 안 좋아 보이더라.,-1.0,0.0
125,친구는 무슨. 소현이 걔가 어떻게 내 친구냐?,-1.0,1.0
126,"으휴, 어차피 깨질 거, 그렇게 유난을 떨더니.",-1.0,1.0
127,소문난 편식쟁이인 니가 풀 뜯어 먹는 거 보니까 색달라서 그래.,-1.0,0.0
128,나도 다 컸는데 이제.. 편식쟁이가 뭐야?,-1.0,-1.0
129,인터넷에서? 무슨 레시피길래?,0.0,-1.0
130,그래서 이제 그냥 시금치를 먹기로 한 거야?,0.0,-1.0
131,"응… 원래 안 먹었는데, 얼마 전에 인터넷에서 본 레시피대로 만들어서 먹어보니까 맛있더라고?",0.0,-1.0
132,"팬에다 시금치 넣고, 쯔유랑 참기름 부어서 뚜껑 덮고 익히는 거.",0.0,-1.0
134,편식쟁이보고 편식쟁이라고 하는 게 뭐 어때서.,-1.0,0.0
135,의외로 간단하네. 나물 무치는 거보다 오히려 더 간단하게 할 수 있겠다.,0.0,-1.0
136,"아 한번만 부탁할게. 나 좀 살려주라, 응?",-1.0,1.0
137,"아, 진짜 그럼 내가 알바 끝나고 쩔어서 오빠 만나러 가야하잖아.",-1.0,0.0
138,고마워!! 내가 이 은혜는 꼭 갚을게.,0.0,-1.0
139,저녁? 저녁 몇 시에 만나는 건데?,0.0,-1.0
142,오빠 퇴근하고 나서 만날 거니까 한 일곱 시쯤 만나지 않을까?,0.0,-1.0
143,아우.. 그래도 좀 정도껏해야지. 수업을 너무 못해. 졸려서 참느라 혼났다고.,-1.0,0.0
144,아니.. B반 교수님은 새로 오신 분이라 그런지 완전 열심히 수업하신대.,0.0,-1.0
145,교수님들이 다 그렇지 뭐. 참신한 교수님이 어디있냐?,-1.0,-1.0
147,대신에 과제도 많이 내주신다고 하더라. 우리 교수님은 과제는 별로 없잖아.,0.0,-1.0
148,니가 어떻게 나한테 이럴 수가 있어?,-1.0,1.0
149,"그럼 어떡할 건데. 내가 안 되겠다는데, 어떻게 할 거냐고.",-1.0,1.0
150,미안해. 진짜 미안해. 헤어지자 우리. 나 먼저 일어날게.,-1.0,1.0
151,"생각할 시간 좀 달라더니, 시간 갖고 생각해서 나온 결론이 고작 이거야? 헤어지자고?",-1.0,1.0
152,나도 진지하게 말하는 거야. 나 헤어지기 싫어.,-1.0,1.0
153,싫어. 나 헤어지기 싫단 말이야.,-1.0,1.0
154,미안하다는 말이면 다야? 그렇게 말 한 마디로 끝내자고?,-1.0,1.0
155,하긴 그렇겠다. 우리나라는 채식주의자들 살기 힘들다고 하더라고.,-1.0,-1.0
156,그러게. 귀찮은 것 빼고는 좋겠다.,0.0,-1.0
159,그래… 대단하다. 난 고기가 너무 맛있어서.. 고기 안 먹고는 못 살 거 같아.,-1.0,-1.0
160,그래서 요즘은 주로 도시락 많이 싸서 다녀.,0.0,-1.0
161,언니? 지금 응급실이라도 가봐야 하는 거 아냐? 열이 너무 많이 나는데?,-1.0,1.0
162,…아.. 나 지금… 너무 아파..,-1.0,1.0
163,"기다려, 내가 같이 가줄게! 지갑 가져올 테니까 잠깐만.",0.0,-1.0
164,…아… 아니.. 못 먹겠어.. 지금 계속 토한단 말이야.,-1.0,1.0
166,배가 너무 아파… 아까 전에 점심 먹은 게 잘못됐나봐.,-1.0,0.0
169,"언니, 괜찮아? 소화제라도 하나 줘? 언니?",-1.0,1.0
170,"언니, 이번 어버이날 선물 어떻게 할 거야?",0.0,-1.0
171,그럼 나는 셔츠랑 타이 사 드려야겠다.,0.0,-1.0
172,"응, 다 떨어진 거 같길래, 하나 더 사다 드리려고.",0.0,-1.0
173,나는 아빠 좋아하는 홍삼 엑기스 사 드리려고 했지.,0.0,-1.0
174,음.. 그럼 그냥 어버이날 선물이랑 아빠 생신 선물이랑 퉁치자.,0.0,-1.0
175,"아, 그러게. 저번에 그거 좋아하셨었잖아.",0.0,-1.0
176,5월 달에 행사가 너무 많아서 큰일이야. 아빠 생신도 5월이잖아.,-1.0,0.0
177,아빠가 좀 섭섭해 하시지 않을까?,-1.0,-1.0
179,"내일? 아니, 아마 집에서 저녁 먹을 거 같은데.",0.0,-1.0
180,"그래, 그래서 지금 이렇게 물어보는 거잖아.",-1.0,0.0
181,"야, 삼겹살 먹을거면 나랑 같이 먹어야지. 내가 삼겹살 좋아하는 거 뻔히 알면서.",-1.0,0.0
182,"응, 내가 고기 사다 놓을게.",0.0,-1.0
184,"알았어, 내일 일찍 들어올게. 같이 먹자.",0.0,-1.0
185,"먹으면 먹는 거고, 아니면 아닌 거지, 아마는 뭐야?",-1.0,0.0
186,응. 그냥 삼겹살 사다가 구워 먹으려구.,0.0,-1.0
187,"언니, 내일 혹시 저녁 먹고 들어올거야?",0.0,-1.0
188,외식하게? 아니면 집에서 먹게?,0.0,-1.0
189,"그냥, 오랜만에 같이 밥이나 먹을까 했지.",0.0,-1.0
191,"언니, 이거 좀 봐줘. 내 컴퓨터가 이상해.",-1.0,0.0
192,아무래도.. 윈도우 다시 깔아야 할 거 같은데.,-1.0,0.0
193,먹통이 됐는데 그럼 어떻게 해. 미리 저장을 잘 했어야지.,-1.0,-1.0
194,안 돼! 그럼 파일 다 날아가는 거잖아?,-1.0,1.0
196,이거.. 혹시 바이러스 걸린 거 아니야?,-1.0,0.0
199,지금 두부 할인하잖아. 유기농인데 이렇게 싸다고. 쌀 때 사놔야지.,0.0,-1.0
201,유통기한이랑 소비기한이랑 다른 거 몰라? 유통기한 지난 거 먹어도 돼.,-1.0,0.0
202,두부는 유통기한 지나서 먹어도 괜찮아.,0.0,-1.0
203,"아, 집에 두부 남아 있었나?",0.0,-1.0
204,으.. 그럼 언니나 다 먹어..,-1.0,1.0
205,냉장고 안에 있었던 거 같은데.,0.0,-1.0
208,내 말이. 완전히 환상 다 깨졌어.,-1.0,1.0
209,되게 젊고 신선한 이미지로 포장하더니 완전 꼰대잖어?,-1.0,1.0
210,거기 니가 제일 가고 싶어하던 회사 아니야?,-1.0,-1.0
211,맞아. 서류 통과했다고 면접보러 오라고 했을 때 너무 좋아서 방방 뛰었는데 이게 뭐야.,-1.0,0.0
212,그래. 술 마시러 가자. 오늘 같은 날 마셔야지. ,0.0,-1.0
217,결혼은 했냐 안했냐 이딴 거 묻더라.,-1.0,0.0
219,네. 아이스 아메리카노에 샷 추가해서 주세요.,0.0,-1.0
220,커피가 싱겁잖아요… 샷도 추가했는데.,-1.0,0.0
222,샷 세 개 넣은 건데요. 제가 하나 더 넣어드릴게요.,0.0,-1.0
223,네. 잠시만 기다려주세요. 준비해드릴게요.,0.0,-1.0
224,아… 저희 가게 커피가 부드러운 맛이라서 조금 그렇게 느끼실 수도 있는데.,-1.0,-1.0
225,"여기, 아메리카노에 샷이 몇 개 들어가요?",0.0,-1.0
226,"근데 이거, 커피 맛이 왜 이래요?",-1.0,0.0
229,"언니, 회사 휴가 낸다고 한 건 어떻게 됐어?",0.0,-1.0
230," 아, 맞다. 그 때 쉴 수 있대. 우리 시간 맞춰서 6월에 가면 될 거 같아.",0.0,-1.0
231,"내 카드 쓰면 할인되니까, 이걸로 비행기 티켓 예약해두면 되겠다.",0.0,-1.0
